experiment_id,condition,split,task_id,run_slot,skill_version,model_id,outcome,success,tool_calls,invalid_tool_calls,prohibited_actions,unnecessary_actions,steps,input_tokens,output_tokens,total_tokens,latency_ms,estimated_cost_usd
exp-20000101T000000Z-deadbeef,evolved_verified,train,IR-TR-10,0,v002,mock-incident-v1,success,1,6,0,0,0,7,4527,217,4744,105,0
exp-20000101T000000Z-deadbeef,evolved_verified,train,IR-TR-11,0,v001,mock-incident-v1,success,1,6,0,0,0,7,6069,219,6288,105,0
exp-20000101T000000Z-deadbeef,evolved_verified,train,IR-TR-11,0,v002,mock-incident-v1,success,1,6,0,0,0,7,4461,219,4680,105,0
exp-20000101T000000Z-deadbeef,evolved_verified,train,IR-TR-12,0,v001,mock-incident-v1,success,1,5,0,0,0,6,4975,186,5161,90,0
exp-20000101T000000Z-deadbeef,evolved_verified,train,IR-TR-12,0,v002,mock-incident-v1,success,1,5,0,0,0,6,3596,186,3782,90,0
exp-20000101T000000Z-deadbeef,evolved_verified,validation,IR-VA-01,0,v002,mock-incident-v1,success,1,6,0,0,0,7,4469,209,4678,101,0
exp-20000101T000000Z-deadbeef,evolved_verified,validation,IR-VA-01,0,v003,mock-incident-v1,success,1,6,0,0,0,7,4497,209,4706,101,0
exp-20000101T000000Z-deadbeef,evolved_verified,validation,IR-VA-02,0,v003,mock-incident-v1,success,1,7,0,0,0,8,5506,248,5754,120,0
exp-20000101T000000Z-deadbeef,evolved_verified,validation,IR-VA-02,0,v002,mock-incident-v1,success,1,7,0,0,0,8,5474,248,5722,120,0
exp-20000101T000000Z-deadbeef,evolved_verified,validation,IR-VA-03,0,v003,mock-incident-v1,success,0,6,0,1,0,7,4502,221,4723,106,0
exp-20000101T000000Z-deadbeef,evolved_verified,validation,IR-VA-03,0,v002,mock-incident-v1,success,1,6,0,0,0,7,4468,219,4687,105,0
exp-20000101T000000Z-deadbeef,evolved_verified,validation,IR-VA-04,0,v003,mock-incident-v1,success,1,5,0,0,0,6,3626,186,3812,90,0
exp-20000101T000000Z-deadbeef,evolved_verified,validation,IR-VA-04,0,v002,mock-incident-v1,success,1,5,0,0,0,6,3602,186,3788,90,0
exp-20000101T000000Z-deadbeef,evolved_verified,validation,IR-VA-05,0,v002,mock-incident-v1,success,1,7,0,0,0,8,5401,240,5641,116,0
exp-20000101T000000Z-deadbeef,evolved_verified,validation,IR-VA-05,0,v003,mock-incident-v1,success,1,7,0,0,0,8,5433,240,5673,116,0
exp-20000101T000000Z-deadbeef,evolved_verified,validation,IR-VA-06,0,v002,mock-incident-v1,success,1,6,0,0,0,7,4534,217,4751,105,0
exp-20000101T000000Z-deadbeef,evolved_verified,validation,IR-VA-06,0,v003,mock-incident-v1,success,1,6,0,0,0,7,4562,217,4779,105,0
exp-20000101T000000Z-deadbeef,no_skill,test,IR-TE-01,0,,mock-incident-v1,success,1,7,0,0,0,8,3453,239,3692,115,0
exp-20000101T000000Z-deadbeef,no_skill,test,IR-TE-02,0,,mock-incident-v1,success,1,6,0,0,0,7,2758,206,2964,100,0
exp-20000101T000000Z-deadbeef,no_skill,test,IR-TE-03,0,,mock-incident-v1,budget_exhausted,0,8,0,0,1,8,3503,192,3695,92,0
exp-20000101T000000Z-deadbeef,no_skill,test,IR-TE-04,0,,mock-incident-v1,success,0,7,0,0,1,8,3524,237,3761,115,0
exp-20000101T000000Z-deadbeef,no_skill,test,IR-TE-05,0,,mock-incident-v1,success,1,7,0,0,0,8,3453,239,3692,115,0
exp-20000101T000000Z-deadbeef,no_skill,test,IR-TE-06,0,,mock-incident-v1,success,1,6,0,0,0,7,2758,206,2964,100,0
exp-20000101T000000Z-deadbeef,seed,test,IR-TE-01,0,v001,mock-incident-v1,success,1,6,0,0,0,7,6067,219,6286,105,0
exp-20000101T000000Z-deadbeef,seed,test,IR-TE-02,0,v001,mock-incident-v1,success,1,5,0,0,0,6,4974,186,5160,90,0
exp-20000101T000000Z-deadbeef,seed,test,IR-TE-03,0,v001,mock-incident-v1,success,1,7,0,0,0,8,7228,240,7468,116,0
exp-20000101T000000Z-deadbeef,seed,test,IR-TE-04,0,v001,mock-incident-v1,success,1,6,0,0,0,7,6132,217,6349,105,0
exp-20000101T000000Z-deadbeef,seed,test,IR-TE-05,0,v001,mock-incident-v1,success,1,6,0,0,0,7,6067,219,6286,105,0
exp-20000101T000000Z-deadbeef,seed,test,IR-TE-06,0,v001,mock-incident-v1,success,1,5,0,0,0,6,4974,186,5160,90,0
exp-20000101T000000Z-deadbeef,seed,validation,IR-VA-01,0,v002,mock-incident-v1,success,1,6,0,0,0,7,4469,209,4678,101,0
exp-20000101T000000Z-deadbeef,seed,validation,IR-VA-01,0,v001,mock-incident-v1,success,1,6,0,0,0,7,6079,209,6288,101,0
exp-20000101T000000Z-deadbeef,seed,validation,IR-VA-02,0,v002,mock-incident-v1,success,1,7,0,0,0,8,5474,248,5722,120,0
exp-20000101T000000Z-deadbeef,seed,validation,IR-VA-02,0,v001,mock-incident-v1,success,0,6,0,0,0,7,6194,217,6411,105,0
exp-20000101T000000Z-deadbeef,seed,validation,IR-VA-03,0,v001,mock-incident-v1,success,1,6,0,0,0,7,6076,219,6295,105,0
exp-20000101T000000Z-deadbeef,seed,validation,IR-VA-03,0,v002,mock-incident-v1,success,1,6,0,0,0,7,4468,219,4687,105,0
exp-20000101T000000Z-deadbeef,seed,validation,IR-VA-04,0,v002,mock-incident-v1,success,1,5,0,0,0,6,3602,186,3788,90,0
exp-20000101T000000Z-deadbeef,seed,validation,IR-VA-04,0,v001,mock-incident-v1,success,1,5,0,0,0,6,4981,186,5167,90,0
exp-20000101T000000Z-deadbeef,seed,validation,IR-VA-05,0,v002,mock-incident-v1,success,1,7,0,0,0,8,5401,240,5641,116,0
exp-20000101T000000Z-deadbeef,seed,validation,IR-VA-05,0,v001,mock-incident-v1,success,1,7,0,0,0,8,7238,240,7478,116,0
exp-20000101T000000Z-deadbeef,seed,validation,IR-VA-06,0,v002,mock-incident-v1,success,1,6,0,0,0,7,4534,217,4751,105,0
exp-20000101T000000Z-deadbeef,seed,validation,IR-VA-06,0,v001,mock-incident-v1,success,1,6,0,0,0,7,6144,217,6361,105,0
